,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost,sigAcc,sigMeas,sigPos
3,0.9999665908241272,0.9999665908241272,50000,0.0,0.0,1.0,50,0,0,1.0,984.04,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,15.0,90.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,15.0,90.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,90,90.0,15.0,90.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,15.0,90.0
7,0.985003419921875,0.985003419921875,49254,0.0,746.0,0.98508,50,0,0,1.0,908.48,0.88,832.3333333333334,50,1,imm2,rnr,1,90,90.0,15.0,90.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,90,90.0,15.0,90.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,90,90.0,15.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,10.0,10.0
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,imm2,rnr,1,190,15.0,10.0,10.0
2,0.98955303125,0.98955303125,49478,0.0,522.0,0.98956,50,0,0,1.0,953.16,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,10.0,10.0
3,0.9985456297607422,0.9985456297607422,49940,0.0,60.0,0.9988,50,0,0,1.0,945.6,0.92,891.8571428571429,50,1,imm2,rnr,1,190,15.0,10.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,10.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,190,15.0,10.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,10.0,10.0
7,0.9796465546875,0.9796465546875,48988,0.0,1012.0,0.97976,50,0,0,1.0,910.04,0.88,861.0689655172414,50,1,imm2,rnr,1,190,15.0,10.0,10.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,190,15.0,10.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,15.0,10.0,10.0
0,0.9766,0.9766,48830,0.0,1170.0,0.9766,50,0,0,1.0,842.0,0.82,832.3333333333334,50,3,imm2,rnr,1,50,15.0,10.0,90.0
1,0.96641103515625,0.96641103515625,48326,0.0,1674.0,0.96652,50,0,0,1.0,795.42,0.74,780.25,50,3,imm2,rnr,1,50,15.0,10.0,90.0
2,0.9790689296875,0.9414124323918269,48954,474.0,1046.0,0.9698854855965447,50,0,2,0.9615384615384616,761.4038461538462,0.7307692307692307,756.5757575757576,50,3,imm2,rnr,1,50,15.0,10.0,90.0
3,0.97488,0.97488,48744,0.0,1256.0,0.97488,50,0,0,1.0,890.86,0.82,832.3333333333334,50,3,imm2,rnr,1,50,15.0,10.0,90.0
4,0.97564,0.97564,48782,0.0,1218.0,0.97564,50,0,0,1.0,783.5,0.72,734.2941176470588,50,3,imm2,rnr,1,50,15.0,10.0,90.0
5,0.98348,0.98348,49174,0.0,826.0,0.98348,50,0,0,1.0,895.52,0.88,891.8571428571429,50,3,imm2,rnr,1,50,15.0,10.0,90.0
6,0.980714080078125,0.980714080078125,49046,0.0,954.0,0.98092,50,0,0,1.0,850.0,0.8,805.4516129032259,50,3,imm2,rnr,1,50,15.0,10.0,90.0
7,0.9817400000000001,0.9624901960784313,49087,343.0,913.0,0.975051149117057,50,0,1,0.9803921568627451,822.7254901960785,0.7647058823529411,792.6507936507936,50,3,imm2,rnr,1,50,15.0,10.0,90.0
8,0.98264,0.98264,49132,0.0,868.0,0.98264,50,0,0,1.0,816.36,0.8,832.3333333333334,50,3,imm2,rnr,1,50,15.0,10.0,90.0
9,0.98944,0.98944,49472,0.0,528.0,0.98944,50,0,0,1.0,909.18,0.9,891.8571428571429,50,3,imm2,rnr,1,50,15.0,10.0,90.0
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,40.0,5.0,10.0
1,0.9999806840343476,0.9999806840343476,50000,0.0,0.0,1.0,50,0,0,1.0,964.6,0.96,924.925925925926,50,1,imm2,rnr,1,190,40.0,5.0,10.0
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,imm2,rnr,1,190,40.0,5.0,10.0
3,0.9995764959411622,0.9995764959411622,49982,0.0,18.0,0.99964,50,0,0,1.0,944.48,0.92,891.8571428571429,50,1,imm2,rnr,1,190,40.0,5.0,10.0
4,0.9930450703125,0.9930450703125,49654,0.0,346.0,0.99308,50,0,0,1.0,925.96,0.92,924.925925925926,50,1,imm2,rnr,1,190,40.0,5.0,10.0
5,0.9848733798828125,0.9848733798828125,49252,0.0,748.0,0.98504,50,0,0,1.0,934.24,0.92,924.925925925926,50,1,imm2,rnr,1,190,40.0,5.0,10.0
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,40.0,5.0,10.0
7,0.979763419921875,0.979763419921875,48992,0.0,1008.0,0.97984,50,0,0,1.0,873.72,0.84,805.4516129032259,50,1,imm2,rnr,1,190,40.0,5.0,10.0
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,imm2,rnr,1,190,40.0,5.0,10.0
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,imm2,rnr,1,190,40.0,5.0,10.0
0,0.98468,0.98468,49234,0.0,766.0,0.98468,50,0,0,1.0,867.12,0.84,861.0689655172414,50,3,imm2,rnr,1,50,40.0,10.0,90.0
1,0.9682510390625,0.9682510390625,48418,0.0,1582.0,0.96836,50,0,0,1.0,873.58,0.82,832.3333333333334,50,3,imm2,rnr,1,50,40.0,10.0,90.0
2,0.9816689296875,0.9439124323918269,49084,474.0,916.0,0.9724610690652613,50,0,2,0.9615384615384616,779.9423076923077,0.75,713.2857142857143,50,3,imm2,rnr,1,50,40.0,10.0,90.0
3,0.98406,0.98406,49203,0.0,797.0,0.98406,50,0,0,1.0,899.7,0.86,832.3333333333334,50,3,imm2,rnr,1,50,40.0,10.0,90.0
4,0.99052,0.99052,49526,0.0,474.0,0.99052,50,0,0,1.0,888.48,0.88,891.8571428571429,50,3,imm2,rnr,1,50,40.0,10.0,90.0
5,0.99436,0.99436,49718,0.0,282.0,0.99436,50,0,0,1.0,955.04,0.92,924.925925925926,50,3,imm2,rnr,1,50,40.0,10.0,90.0
6,0.980714080078125,0.980714080078125,49046,0.0,954.0,0.98092,50,0,0,1.0,850.0,0.8,805.4516129032259,50,3,imm2,rnr,1,50,40.0,10.0,90.0
7,0.98342,0.9641372549019608,49171,343.0,829.0,0.9767197028385277,50,0,1,0.9803921568627451,899.5098039215686,0.8431372549019608,846.457627118644,50,3,imm2,rnr,1,50,40.0,10.0,90.0
8,0.98452,0.98452,49226,0.0,774.0,0.98452,50,0,0,1.0,894.48,0.88,891.8571428571429,50,3,imm2,rnr,1,50,40.0,10.0,90.0
9,0.99996,0.99996,49998,0.0,2.0,0.99996,50,0,0,1.0,961.96,0.96,924.925925925926,50,3,imm2,rnr,1,50,40.0,10.0,90.0
