,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost,sigP,sigMeas
3,0.95982,0.8569821428571428,47991,2009.0,2009.0,0.922744140437232,50,0,6,0.8928571428571429,891.8571428571429,0.7857142857142857,891.8571428571429,50,5,KF,RW,1,30,30.0,3.0
4,0.97192963671875,0.8835723970170455,48602,736.0,1398.0,0.9579391359192684,50,0,5,0.9090909090909091,847.5818181818182,0.7636363636363637,846.457627118644,50,5,KF,RW,1,30,30.0,3.0
5,0.92948,0.7745666666666666,46474,3067.0,3526.0,0.8757608306480487,50,0,10,0.8333333333333334,811.5333333333333,0.65,805.4516129032259,50,5,KF,RW,1,30,30.0,3.0
6,0.9559370546875,0.885126902488426,47803,1219.0,2197.0,0.933305999726664,50,0,4,0.9259259259259259,862.1296296296297,0.7592592592592593,832.3333333333334,50,5,KF,RW,1,30,30.0,3.0
7,0.968104763671875,0.9133063808225236,48412,800.0,1588.0,0.952992125984252,50,0,3,0.9433962264150944,867.433962264151,0.8113207547169812,792.6507936507936,50,5,KF,RW,1,30,30.0,3.0
8,0.9842830224609375,0.9464259831355168,49217,357.0,783.0,0.9773616379053558,50,0,2,0.9615384615384616,909.8269230769231,0.8653846153846154,891.8571428571429,50,5,KF,RW,1,30,30.0,3.0
9,0.939147359375,0.8385244280133929,46967,1149.0,3033.0,0.9182388707501613,50,0,6,0.8928571428571429,788.3571428571429,0.6428571428571429,756.5757575757576,50,5,KF,RW,1,30,30.0,3.0
0,0.972846734375,0.972846734375,48648,0.0,1352.0,0.97296,50,0,0,1.0,958.0,0.94,861.0689655172414,50,5,KF,RW,1,30,50.0,5.0
1,0.96646178515625,0.8948720232928241,48337,665.0,1663.0,0.9540511201026349,50,0,4,0.9259259259259259,867.4074074074074,0.7777777777777778,805.4516129032259,50,5,KF,RW,1,30,50.0,5.0
2,0.923982421875,0.7830359507415254,46225,2511.0,3775.0,0.8802917483955742,50,0,9,0.847457627118644,773.1355932203389,0.576271186440678,683.931506849315,50,5,KF,RW,1,30,50.0,5.0
3,0.95982,0.8569821428571428,47991,2009.0,2009.0,0.922744140437232,50,0,6,0.8928571428571429,891.8571428571429,0.7857142857142857,891.8571428571429,50,5,KF,RW,1,30,50.0,5.0
4,0.97192963671875,0.8835723970170455,48602,736.0,1398.0,0.9579391359192684,50,0,5,0.9090909090909091,847.5818181818182,0.7636363636363637,846.457627118644,50,5,KF,RW,1,30,50.0,5.0
5,0.92948,0.7745666666666666,46474,3067.0,3526.0,0.8757608306480487,50,0,10,0.8333333333333334,811.5333333333333,0.65,805.4516129032259,50,5,KF,RW,1,30,50.0,5.0
6,0.9603294765625,0.8891939597800926,48021,1219.0,1979.0,0.9375622327651848,50,0,4,0.9259259259259259,862.1296296296297,0.7592592592592593,805.4516129032259,50,5,KF,RW,1,30,50.0,5.0
7,0.968104763671875,0.9133063808225236,48412,800.0,1588.0,0.952992125984252,50,0,3,0.9433962264150944,867.433962264151,0.8113207547169812,792.6507936507936,50,5,KF,RW,1,30,50.0,5.0
8,0.9842830224609375,0.9464259831355168,49217,357.0,783.0,0.9773616379053558,50,0,2,0.9615384615384616,909.8269230769231,0.8653846153846154,891.8571428571429,50,5,KF,RW,1,30,50.0,5.0
9,0.94154734375,0.8406672712053571,47085,1149.0,2915.0,0.9205458562239731,50,0,6,0.8928571428571429,788.3571428571429,0.6428571428571429,734.2941176470588,50,5,KF,RW,1,30,50.0,5.0
0,0.972846734375,0.972846734375,48648,0.0,1352.0,0.97296,50,0,0,1.0,958.0,0.94,861.0689655172414,50,5,KF,RW,1,60,5.0,3.0
1,0.97520178515625,0.97520178515625,48774,0.0,1226.0,0.97548,50,0,0,1.0,936.88,0.92,891.8571428571429,50,5,KF,RW,1,60,5.0,3.0
2,0.9715587265625,0.9715587265625,48610,0.0,1390.0,0.9722,50,0,0,1.0,906.0,0.82,805.4516129032259,50,5,KF,RW,1,60,5.0,3.0
3,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,5,KF,RW,1,60,5.0,3.0
4,0.97694930859375,0.97694930859375,48854,0.0,1146.0,0.97708,50,0,0,1.0,902.16,0.88,891.8571428571429,50,5,KF,RW,1,60,5.0,3.0
5,0.9838878984375,0.9838878984375,49198,0.0,802.0,0.98396,50,0,0,1.0,972.96,0.92,924.925925925926,50,5,KF,RW,1,60,5.0,3.0
6,0.9890749814453125,0.9890749814453125,49458,0.0,542.0,0.98916,50,0,0,1.0,956.92,0.92,924.925925925926,50,5,KF,RW,1,60,5.0,3.0
7,0.984064763671875,0.984064763671875,49210,0.0,790.0,0.9842,50,0,0,1.0,880.54,0.86,780.25,50,5,KF,RW,1,60,5.0,3.0
8,0.9952060454101562,0.9952060454101562,49766,0.0,234.0,0.99532,50,0,0,1.0,962.12,0.92,924.925925925926,50,5,KF,RW,1,60,5.0,3.0
9,0.96172734375,0.96172734375,48094,0.0,1906.0,0.96188,50,0,0,1.0,883.08,0.84,832.3333333333334,50,5,KF,RW,1,60,5.0,3.0
0,0.991883810546875,0.9724351083792893,49599,379.0,401.0,0.9845173584231525,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,846.457627118644,50,3,KF,RW,1,30,15.0,5.0
1,0.9943281298828125,0.9748314998851103,49725,187.0,275.0,0.9907944288361528,50,0,1,0.9803921568627451,950.6470588235294,0.8823529411764706,876.1929824561404,50,3,KF,RW,1,30,15.0,5.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,15.0,5.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,30,15.0,5.0
4,0.968937001953125,0.968937001953125,48472,0.0,1528.0,0.96944,50,0,0,1.0,865.64,0.8,693.4444444444445,50,3,KF,RW,1,30,15.0,5.0
5,0.9900155634765625,0.9900155634765625,49504,0.0,496.0,0.99008,50,0,0,1.0,969.0,0.96,960.5384615384615,50,3,KF,RW,1,30,15.0,5.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,15.0,5.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,15.0,5.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,15.0,5.0
9,0.9729172265625,0.9729172265625,48669,0.0,1331.0,0.97338,50,0,0,1.0,911.62,0.88,693.4444444444445,50,3,KF,RW,1,30,15.0,5.0
0,0.9905967353515625,0.9711732699525123,49547,379.0,453.0,0.9834851823180293,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,876.1929824561404,50,3,KF,RW,1,30,30.0,3.0
1,0.9943281298828125,0.9748314998851103,49725,187.0,275.0,0.9907944288361528,50,0,1,0.9803921568627451,950.6470588235294,0.8823529411764706,876.1929824561404,50,3,KF,RW,1,30,30.0,3.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,30.0,3.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,30,30.0,3.0
4,0.9595461796875,0.9595461796875,48034,0.0,1966.0,0.96068,50,0,0,1.0,865.64,0.8,780.25,50,3,KF,RW,1,30,30.0,3.0
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,30.0,3.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,30.0,3.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,30.0,3.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,30.0,3.0
9,0.97038264453125,0.97038264453125,48535,0.0,1465.0,0.9707,50,0,0,1.0,911.62,0.88,674.6756756756756,50,3,KF,RW,1,30,30.0,3.0
0,0.9981767349853515,0.9981767349853515,49926,0.0,74.0,0.99852,50,0,0,1.0,996.92,0.96,891.8571428571429,50,3,KF,RW,1,60,30.0,3.0
1,0.9980681301269532,0.9980681301269532,49912,0.0,88.0,0.99824,50,0,0,1.0,969.68,0.92,891.8571428571429,50,3,KF,RW,1,60,30.0,3.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,60,30.0,3.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,60,30.0,3.0
4,0.962356765625,0.962356765625,48168,0.0,1832.0,0.96336,50,0,0,1.0,902.76,0.84,805.4516129032259,50,3,KF,RW,1,60,30.0,3.0
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,60,30.0,3.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,60,30.0,3.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,60,30.0,3.0
8,0.9869358193359375,0.9869358193359375,49352,0.0,648.0,0.98704,50,0,0,1.0,962.26,0.9,832.3333333333334,50,3,KF,RW,1,60,30.0,3.0
9,0.97038264453125,0.97038264453125,48535,0.0,1465.0,0.9707,50,0,0,1.0,911.62,0.88,674.6756756756756,50,3,KF,RW,1,60,30.0,3.0
0,0.991883810546875,0.9724351083792893,49599,379.0,401.0,0.9845173584231525,50,0,1,0.9803921568627451,977.3529411764706,0.9215686274509803,846.457627118644,50,3,KF,RW,1,30,50.0,5.0
1,0.9943281298828125,0.9748314998851103,49725,187.0,275.0,0.9907944288361528,50,0,1,0.9803921568627451,950.6470588235294,0.8823529411764706,876.1929824561404,50,3,KF,RW,1,30,50.0,5.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,30,50.0,5.0
3,0.9489161640625,0.9489161640625,47470,0.0,2530.0,0.9494,50,0,0,1.0,947.68,0.84,861.0689655172414,50,3,KF,RW,1,30,50.0,5.0
4,0.95316617578125,0.95316617578125,47716,0.0,2284.0,0.95432,50,0,0,1.0,865.64,0.8,756.5757575757576,50,3,KF,RW,1,30,50.0,5.0
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,50.0,5.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,30,50.0,5.0
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,3,KF,RW,1,30,50.0,5.0
8,0.9809958203125,0.9617606081495098,49055,297.0,945.0,0.9753066783307156,50,0,1,0.9803921568627451,943.3725490196078,0.8627450980392157,818.672131147541,50,3,KF,RW,1,30,50.0,5.0
9,0.97038264453125,0.97038264453125,48535,0.0,1465.0,0.9707,50,0,0,1.0,911.62,0.88,674.6756756756756,50,3,KF,RW,1,30,50.0,5.0
0,0.9994638106689453,0.9994638106689453,49978,0.0,22.0,0.99956,50,0,0,1.0,996.92,0.96,861.0689655172414,50,3,KF,RW,1,60,15.0,10.0
1,0.9977881301269531,0.9977881301269531,49898,0.0,102.0,0.99796,50,0,0,1.0,929.96,0.88,861.0689655172414,50,3,KF,RW,1,60,15.0,10.0
2,0.977604623046875,0.977604623046875,48882,0.0,1118.0,0.97764,50,0,0,1.0,944.92,0.92,924.925925925926,50,3,KF,RW,1,60,15.0,10.0
3,0.9553649375,0.9553649375,47772,0.0,2228.0,0.95544,50,0,0,1.0,947.6,0.84,832.3333333333334,50,3,KF,RW,1,60,15.0,10.0
4,0.97922334375,0.97922334375,48966,0.0,1034.0,0.97932,50,0,0,1.0,902.76,0.84,734.2941176470588,50,3,KF,RW,1,60,15.0,10.0
5,0.9900155634765625,0.9900155634765625,49504,0.0,496.0,0.99008,50,0,0,1.0,969.0,0.96,960.5384615384615,50,3,KF,RW,1,60,15.0,10.0
6,0.976028212890625,0.976028212890625,48808,0.0,1192.0,0.97616,50,0,0,1.0,863.44,0.84,832.3333333333334,50,3,KF,RW,1,60,15.0,10.0
7,0.9989064616699219,0.9989064616699219,49946,0.0,54.0,0.99892,50,0,0,1.0,960.12,0.96,960.5384615384615,50,3,KF,RW,1,60,15.0,10.0
8,0.9869358193359375,0.9869358193359375,49352,0.0,648.0,0.98704,50,0,0,1.0,962.26,0.9,832.3333333333334,50,3,KF,RW,1,60,15.0,10.0
