,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
3,0.97186,0.97186,48593,0.0,1407.0,0.97186,50,0,0,1.0,638.58,0.62,665.6666666666666,50,7,naive,rnr,1,120
4,0.92146,0.92146,46073,0.0,3927.0,0.92146,50,0,0,1.0,679.12,0.58,608.7560975609756,50,7,naive,rnr,1,120
5,0.95214,0.95214,47607,0.0,2393.0,0.95214,50,0,0,1.0,564.82,0.52,640.025641025641,50,7,naive,rnr,1,120
6,0.95574,0.95574,47787,0.0,2213.0,0.95574,50,0,0,1.0,631.02,0.58,640.025641025641,50,7,naive,rnr,1,120
7,0.9696,0.9696,48480,0.0,1520.0,0.9696,50,0,0,1.0,690.48,0.66,693.4444444444445,50,7,naive,rnr,1,120
8,0.97208,0.97208,48604,0.0,1396.0,0.97208,50,0,0,1.0,671.08,0.64,734.2941176470588,50,7,naive,rnr,1,120
9,0.94588,0.94588,47294,0.0,2706.0,0.94588,50,0,0,1.0,524.52,0.48,554.5555555555555,50,7,naive,rnr,1,120
0,0.9766,0.9766,48830,0.0,1170.0,0.9766,50,0,0,1.0,842.0,0.82,832.3333333333334,50,3,naive,rnr,1,80
1,0.9682510390625,0.9682510390625,48418,0.0,1582.0,0.96836,50,0,0,1.0,873.58,0.82,832.3333333333334,50,3,naive,rnr,1,80
2,0.9895889296875,0.9895889296875,49480,0.0,520.0,0.9896,50,0,0,1.0,849.44,0.84,861.0689655172414,50,3,naive,rnr,1,80
3,0.97328,0.97328,48664,0.0,1336.0,0.97328,50,0,0,1.0,852.46,0.78,805.4516129032259,50,3,naive,rnr,1,80
4,0.9788,0.9788,48940,0.0,1060.0,0.9788,50,0,0,1.0,901.9,0.86,832.3333333333334,50,3,naive,rnr,1,80
5,0.9794223671875,0.9794223671875,48974,0.0,1026.0,0.97948,50,0,0,1.0,859.64,0.84,861.0689655172414,50,3,naive,rnr,1,80
6,0.987864052734375,0.987864052734375,49394,0.0,606.0,0.98788,50,0,0,1.0,831.14,0.82,832.3333333333334,50,3,naive,rnr,1,80
7,0.97926,0.97926,48963,0.0,1037.0,0.97926,50,0,0,1.0,783.9,0.76,780.25,50,3,naive,rnr,1,80
8,0.98264,0.98264,49132,0.0,868.0,0.98264,50,0,0,1.0,816.36,0.8,832.3333333333334,50,3,naive,rnr,1,80
9,0.98924,0.98924,49462,0.0,538.0,0.98924,50,0,0,1.0,889.76,0.88,891.8571428571429,50,3,naive,rnr,1,80
0,0.9476,0.9476,47380,0.0,2620.0,0.9476,50,0,0,1.0,744.08,0.7,713.2857142857143,50,5,naive,rnr,1,80
1,0.96658,0.96658,48329,0.0,1671.0,0.96658,50,0,0,1.0,699.96,0.68,674.6756756756756,50,5,naive,rnr,1,80
2,0.99692,0.99692,49846,0.0,154.0,0.99692,50,0,0,1.0,882.08,0.88,891.8571428571429,50,5,naive,rnr,1,80
3,0.98252,0.98252,49126,0.0,874.0,0.98252,50,0,0,1.0,816.48,0.8,832.3333333333334,50,5,naive,rnr,1,80
4,0.95042,0.95042,47521,0.0,2479.0,0.95042,50,0,0,1.0,611.04,0.58,554.5555555555555,50,5,naive,rnr,1,80
5,0.98258,0.98258,49129,0.0,871.0,0.98258,50,0,0,1.0,795.98,0.78,780.25,50,5,naive,rnr,1,80
6,0.97886,0.97886,48943,0.0,1057.0,0.97886,50,0,0,1.0,831.56,0.78,805.4516129032259,50,5,naive,rnr,1,80
7,0.94262,0.94262,47131,0.0,2869.0,0.94262,50,0,0,1.0,681.08,0.64,674.6756756756756,50,5,naive,rnr,1,80
8,0.940575140625,0.940575140625,47034,0.0,2966.0,0.94068,50,0,0,1.0,712.52,0.64,674.6756756756756,50,5,naive,rnr,1,80
9,0.9792,0.9792,48960,0.0,1040.0,0.9792,50,0,0,1.0,732.14,0.72,674.6756756756756,50,5,naive,rnr,1,80
0,0.99876,0.99876,49938,0.0,62.0,0.99876,50,0,0,1.0,960.24,0.96,960.5384615384615,50,1,naive,rnr,1,200
1,0.9944,0.9944,49720,0.0,280.0,0.9944,50,0,0,1.0,964.6,0.96,960.5384615384615,50,1,naive,rnr,1,200
2,0.99184,0.99184,49592,0.0,408.0,0.99184,50,0,0,1.0,990.84,0.96,960.5384615384615,50,1,naive,rnr,1,200
