,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost
3,0.9125299296875,0.9125299296875,45630,0.0,4370.0,0.9126,50,0,0,1.0,807.36,0.7,756.5757575757576,50,9,naive,RW,1,60
4,0.935961671875,0.935961671875,46812,0.0,3188.0,0.93624,50,0,0,1.0,851.66,0.78,674.6756756756756,50,9,naive,RW,1,60
5,0.943138484375,0.943138484375,47174,0.0,2826.0,0.94348,50,0,0,1.0,765.36,0.66,674.6756756756756,50,9,naive,RW,1,60
6,0.9966014270019531,0.9966014270019531,49834,0.0,166.0,0.99668,50,0,0,1.0,962.44,0.96,960.5384615384615,50,9,naive,RW,1,60
7,0.98236010546875,0.98236010546875,49120,0.0,880.0,0.9824,50,0,0,1.0,979.36,0.84,832.3333333333334,50,9,naive,RW,1,60
8,0.8983441875,0.8983441875,44946,0.0,5054.0,0.89892,50,0,0,1.0,784.14,0.7,489.19607843137254,50,9,naive,RW,1,60
9,0.95284,0.95284,47642,0.0,2358.0,0.95284,50,0,0,1.0,866.04,0.76,693.4444444444445,50,9,naive,RW,1,60
0,0.9702719765625,0.9512470358455882,48526,256.0,1474.0,0.9655762496020376,50,0,1,0.9803921568627451,908.0196078431372,0.8431372549019608,846.457627118644,50,7,naive,RW,10,40
1,0.93566190625,0.9173155943627451,46802,88.0,3198.0,0.9343954639833892,50,0,1,0.9803921568627451,799.4313725490196,0.6862745098039216,683.931506849315,50,7,naive,RW,10,40
2,0.9774,0.9220754716981132,48870,280.0,1130.0,0.9719570405727923,50,0,3,0.9433962264150944,883.0566037735849,0.8301886792452831,876.1929824561404,50,7,naive,RW,10,40
3,0.96551157421875,0.96551157421875,48286,0.0,1714.0,0.96572,50,0,0,1.0,924.52,0.88,891.8571428571429,50,7,naive,RW,10,40
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,10,40
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,10,40
6,0.8928190859375,0.8753128293504902,44660,473.0,5340.0,0.8848295128088285,50,0,1,0.9803921568627451,784.8235294117648,0.6862745098039216,703.2253521126761,50,7,naive,RW,10,40
7,0.9334356875,0.8046859375,46682,2324.0,3318.0,0.8921718523048696,50,0,8,0.8620689655172413,771.3448275862069,0.6206896551724138,693.4444444444445,50,7,naive,RW,10,40
8,0.9486583828125,0.8783873914930556,47435,1187.0,2565.0,0.9267001387070936,50,0,4,0.9259259259259259,848.2962962962963,0.7222222222222222,780.25,50,7,naive,RW,10,40
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,10,40
0,0.9482023828125,0.8620021661931818,47412,1308.0,2588.0,0.9240664223902705,50,0,5,0.9090909090909091,863.3272727272728,0.7454545454545455,846.457627118644,50,9,naive,RW,1,40
1,0.9432032109375,0.8574574644886364,47170,1524.0,2830.0,0.915495691328313,50,0,5,0.9090909090909091,764.8363636363637,0.6545454545454545,703.2253521126761,50,9,naive,RW,1,40
2,0.9496541953125,0.8793094401041667,47505,355.0,2495.0,0.9434018468871016,50,0,4,0.9259259259259259,725.4814814814815,0.6481481481481481,580.3953488372093,50,9,naive,RW,1,40
3,0.8968299296875,0.7866929207785087,44845,989.0,5155.0,0.879503422306772,50,0,7,0.8771929824561403,720.0,0.543859649122807,683.931506849315,50,9,naive,RW,1,40
4,0.929721671875,0.8939631460336539,46500,553.0,3500.0,0.9198267165153403,50,0,2,0.9615384615384616,835.9230769230769,0.75,656.8947368421053,50,9,naive,RW,1,40
5,0.896198484375,0.8001772181919643,44827,1075.0,5173.0,0.8776700930004895,50,0,6,0.8928571428571429,660.5357142857143,0.42857142857142855,594.2380952380952,50,9,naive,RW,1,40
6,0.9898414267578125,0.9338126667526533,49496,338.0,504.0,0.9832730740196273,50,0,3,0.9433962264150944,907.9056603773585,0.8490566037735849,908.0909090909091,50,9,naive,RW,1,40
7,0.95242010546875,0.8503750941685267,47623,1497.0,2377.0,0.9247723168339903,50,0,6,0.8928571428571429,874.3214285714286,0.6428571428571429,756.5757575757576,50,9,naive,RW,1,40
8,0.881149828125,0.78674091796875,44088,1188.0,5912.0,0.8612956161600375,50,0,6,0.8928571428571429,700.0178571428571,0.5178571428571429,445.42857142857144,50,9,naive,RW,1,40
9,0.902,0.7912280701754386,45100,1578.0,4900.0,0.8744038155802861,50,0,7,0.8771929824561403,733.4035087719299,0.5263157894736842,601.4096385542168,50,9,naive,RW,1,40
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,5,80
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,5,80
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,5,80
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,5,80
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,5,80
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,5,80
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,5,80
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,5,80
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,5,80
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,5,80
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,10,60
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,10,60
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,10,60
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,10,60
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,10,60
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,10,60
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,10,60
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,10,60
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,10,60
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,10,60
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,5,60
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,5,60
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,5,60
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,5,60
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,5,60
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,5,60
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,5,60
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,5,60
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,5,60
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,5,60
0,0.9753919765625,0.9753919765625,48782,0.0,1218.0,0.97564,50,0,0,1.0,926.2,0.88,861.0689655172414,50,7,naive,RW,10,80
1,0.93742190625,0.93742190625,46890,0.0,3110.0,0.9378,50,0,0,1.0,815.44,0.72,693.4444444444445,50,7,naive,RW,10,80
2,0.983,0.983,49150,0.0,850.0,0.983,50,0,0,1.0,936.0,0.92,924.925925925926,50,7,naive,RW,10,80
3,0.979969302734375,0.979969302734375,49000,0.0,1000.0,0.98,50,0,0,1.0,939.04,0.92,924.925925925926,50,7,naive,RW,10,80
4,0.9947245776367187,0.9947245776367187,49738,0.0,262.0,0.99476,50,0,0,1.0,964.28,0.96,960.5384615384615,50,7,naive,RW,10,80
5,0.96589153515625,0.96589153515625,48306,0.0,1694.0,0.96612,50,0,0,1.0,895.4,0.8,734.2941176470588,50,7,naive,RW,10,80
6,0.894119078125,0.894119078125,44725,0.0,5275.0,0.8945,50,0,0,1.0,790.0,0.7,713.2857142857143,50,7,naive,RW,10,80
7,0.9799156875,0.9799156875,49006,0.0,994.0,0.98012,50,0,0,1.0,894.92,0.88,780.25,50,7,naive,RW,10,80
8,0.97866175,0.97866175,48936,0.0,1064.0,0.97872,50,0,0,1.0,916.42,0.86,861.0689655172414,50,7,naive,RW,10,80
9,0.984912265625,0.984912265625,49248,0.0,752.0,0.98496,50,0,0,1.0,918.04,0.9,861.0689655172414,50,7,naive,RW,10,80
0,0.41537737500000005,0.06410144675925926,20771,28993.0,29229.0,0.2629473497651691,50,0,274,0.15432098765432098,149.1327160493827,0.0,148.2537313432836,50,7,naive,RW,5,20
1,0.38637325,0.05321945592286501,19327,29745.0,30673.0,0.24236002257194808,50,0,313,0.13774104683195593,125.52341597796143,0.0,124.31328320802005,50,7,naive,RW,5,20
2,0.37688,0.05430547550432277,18844,31086.0,31156.0,0.23239523468909554,50,0,297,0.1440922190201729,141.54755043227667,0.0,140.643059490085,50,7,naive,RW,5,20
3,0.389884625,0.05326292691256831,19495,30280.0,30505.0,0.24283756851021426,50,0,316,0.1366120218579235,131.69398907103826,0.0,131.6259946949602,50,7,naive,RW,5,20
4,0.42306225,0.06569289596273292,21154,28830.0,28846.0,0.26834961309146266,50,0,272,0.15527950310559005,151.74223602484471,0.0,153.79876160990713,50,7,naive,RW,5,20
5,0.39558499999999996,0.05587358757062147,19781,30158.0,30219.0,0.2467751191396991,50,0,304,0.14124293785310735,135.1864406779661,0.0,132.33333333333334,50,7,naive,RW,5,20
6,0.35632474999999997,0.05104939111747851,17820,31830.0,32180.0,0.21776854454356592,50,0,299,0.14326647564469913,134.72779369627509,0.0,131.27513227513228,50,7,naive,RW,5,20
7,0.4050694375,0.0578670625,20255,29477.0,29745.0,0.2548536054456006,50,0,300,0.14285714285714285,136.6457142857143,0.002857142857142857,135.23978201634878,50,7,naive,RW,5,20
8,0.432550875,0.06455983208955224,21629,28149.0,28371.0,0.2767661774302934,50,0,285,0.14925373134328357,145.38805970149255,0.0,144.34883720930233,50,7,naive,RW,5,20
9,0.394508375,0.05525327380952381,19726,30189.0,30274.0,0.24599383955405354,50,0,307,0.1400560224089636,131.89635854341736,0.0,132.6898395721925,50,7,naive,RW,5,20
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
1,0.9999857218513489,0.9999857218513489,50000,0.0,0.0,1.0,50,0,0,1.0,996.0,0.96,924.925925925926,50,1,naive,RW,1,80
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
3,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
4,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
8,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,1,80
0,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
1,0.9999857218513489,0.9999857218513489,50000,0.0,0.0,1.0,50,0,0,1.0,996.0,0.96,924.925925925926,50,1,naive,RW,2,20
2,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
3,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
4,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
5,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
6,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
7,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
8,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
9,1.0,1.0,50000,0.0,0.0,1.0,50,0,0,1.0,999.0,1.0,999.0,50,1,naive,RW,2,20
0,0.7545063750000001,0.336833203125,37732,11505.0,12268.0,0.613478578977319,50,0,62,0.44642857142857145,436.32142857142856,0.125,437.5964912280702,50,1,naive,RW,2,10
1,0.765072859375,0.3678234900841346,38254,11746.0,11746.0,0.619538107731675,50,0,54,0.4807692307692308,478.3269230769231,0.1346153846153846,461.962962962963,50,1,naive,RW,2,10
2,0.83816,0.48170114942528736,41908,8092.0,8092.0,0.7214074227088068,50,0,37,0.5747126436781609,573.7126436781609,0.2988505747126437,573.7126436781609,50,1,naive,RW,2,10
3,0.7637,0.3503211009174312,38185,11815.0,11815.0,0.61773032435493,50,0,59,0.45871559633027525,457.7155963302752,0.11009174311926606,457.7155963302752,50,1,naive,RW,2,10
4,0.74238,0.34369444444444447,37119,12881.0,12881.0,0.5903054976861055,50,0,58,0.46296296296296297,461.962962962963,0.1388888888888889,461.962962962963,50,1,naive,RW,2,10
